id	result	seconds	command
isolated-fixtures	PASS	30	npm test -- --grep @claim:isolated-fixtures
mode-capture	PASS	10	npm test -- --grep @claim:mode-capture
snapshot-regression	PASS	9	npm test -- --grep @claim:snapshot-regression
nondeterminism	PASS	11	npm test -- --grep @claim:nondeterminism
nondeterministic-field-allowlist	PASS	9	npm test -- --grep @claim:nondeterministic-field-allowlist
idempotency	PASS	9	npm test -- --grep @claim:idempotency
inline-files	PASS	9	npm test -- --grep @claim:inline-files
fixture-timeout	PASS	10	npm test -- --grep @claim:fixture-timeout
default-timeout	PASS	19	npm test -- --grep @claim:default-timeout
error-recovery	PASS	9	npm test -- --grep @claim:error-recovery
report-formats	PASS	9	npm test -- --grep @claim:report-formats
secret-redaction	PASS	9	npm test -- --grep @claim:secret-redaction
network-opt-in	PASS	10	npm test -- --grep @claim:network-opt-in
demo-sandbox	PASS	10	npm test -- --grep @claim:demo-sandbox
no-third-party-data	PASS	9	npm test -- --grep @claim:no-third-party-data
recorded-demo	PASS	10	npm test -- --grep @claim:recorded-demo
free-mit	PASS	9	npm test -- --grep @claim:free-mit
no-cli-telemetry	PASS	10	npm test -- --grep @claim:no-cli-telemetry
local-execution	PASS	9	npm test -- --grep @claim:local-execution
rust-version	PASS	32	npm test -- --grep @claim:rust-version
starter-contract	PASS	9	npm test -- --grep @claim:starter-contract
copy-install-command	PASS	10	npm test -- --grep @claim:copy-install-command
schema-output	PASS	9	npm test -- --grep @claim:schema-output
contract-format-version	PASS	9	npm test -- --grep @claim:contract-format-version
direct-execution	PASS	9	npm test -- --grep @claim:direct-execution
declared-commands	PASS	9	npm test -- --grep @claim:declared-commands
environment-isolation	PASS	9	npm test -- --grep @claim:environment-isolation
cli-demo-isolation	PASS	10	npm test -- --grep @claim:cli-demo-isolation
exit-codes	PASS	9	npm test -- --grep @claim:exit-codes
json-failure-document	PASS	9	npm test -- --grep @claim:json-failure-document
