claim_id	exit	result
isolated-fixtures	0	PASS
mode-capture	0	PASS
snapshot-regression	0	PASS
nondeterminism	0	PASS
nondeterministic-field-allowlist	0	PASS
idempotency	0	PASS
inline-files	0	PASS
fixture-timeout	0	PASS
default-timeout	0	PASS
error-recovery	0	PASS
report-formats	0	PASS
secret-redaction	0	PASS
network-opt-in	0	PASS
demo-sandbox	0	PASS
no-third-party-data	0	PASS
recorded-demo	0	PASS
free-mit	0	PASS
no-cli-telemetry	0	PASS
local-execution	0	PASS
rust-version	0	PASS
starter-contract	0	PASS
copy-install-command	0	PASS
schema-output	0	PASS
contract-format-version	0	PASS
direct-execution	0	PASS
declared-commands	0	PASS
environment-isolation	0	PASS
cli-demo-isolation	0	PASS
exit-codes	0	PASS
json-failure-document	0	PASS
